version,created_at,model,temperature,top_p,max_output_tokens,prompt_hash,few_shot_examples,prompt_file,change_description,total_records,valid_json_rate,schema_valid_rate,mean_latency_seconds,p95_latency_seconds,branch_accuracy,severity_accuracy,severity_mae,escalation_precision,escalation_recall,escalation_f1,escalation_false_negatives
v1_generic,2026-07-14T18:44:51.565653,gemini-3.1-flash-lite,0.0,1.0,300,2f086f94afc886b8,0,prompts/v1_generic.txt,Generic baseline prompt,10,0.0,0.0,0.963473545799934,1.1369669687498571,0.0,0.0,,0.0,0.0,0.0,
v2_complete,2026-07-14T18:44:51.566046,gemini-3.1-flash-lite,0.0,1.0,300,804b4c9caec39c8e,3,prompts/v2_complete.txt,"Added role, catalog, criteria, constraints, few-shot examples, delimiters, and JSON schema",10,1.0,1.0,1.3203086832001645,2.334863739400088,0.9,1.0,0.0,1.0,1.0,1.0,0.0
v3_internal_verification,2026-07-14T18:44:51.566891,gemini-3.1-flash-lite,0.0,1.0,300,88867e3b37c6f91e,3,prompts/v3_reasoning.txt,v2 plus silent internal verification checklist,10,1.0,1.0,0.7391735543000323,1.238848879499755,0.9,1.0,0.0,1.0,1.0,1.0,0.0
